album_title,artist,labels,genres,critic_score,user_score,album_length,track_number,track_title,track_length,featured_artists,track_rating,track_rating_count,release_date_clean,year_x,album,year_y,main_theme,subthemes
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",1,Intro,0:19,,78,1884,2004-02-10,2004,The College Dropout,2004.0,social,"education, expectations"
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",2,We Don't Care,3:59,,93,4522,2004-02-10,2004,The College Dropout,2004.0,social,"youth, poverty, inequality"
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",3,Graduation Day,1:21,,82,2328,2004-02-10,2004,The College Dropout,2004.0,social,"discipline, conformity"
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",4,All Falls Down,3:43,Syleena Johnson,96,4622,2004-02-10,2004,The College Dropout,2004.0,identity,"insecurity, capitalism"
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",5,I'll Fly Away,1:09,,83,2437,2004-02-10,2004,The College Dropout,2004.0,religion,freedom
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",6,Spaceship,5:24,"GLC, Consequence",94,4490,2004-02-10,2004,The College Dropout,2004.0,work,"exploitation, dreams"
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",7,Jesus Walks,3:13,,96,4517,2004-02-10,2004,The College Dropout,2004.0,religion,"faith, salvation"
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",8,Never Let Me Down,5:24,"JAY-Z, J. Ivy",91,4350,2004-02-10,2004,The College Dropout,2004.0,motivation,"race, inspiration"
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",9,Get Em High,4:49,"Talib Kweli, Common",86,4256,2004-02-10,2004,The College Dropout,2004.0,lifestyle,"ego, weed"
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",10,Workout Plan,0:46,,74,1904,2004-02-10,2004,The College Dropout,2004.0,humor,beauty standards
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",11,The New Workout Plan,5:22,,88,4334,2004-02-10,2004,The College Dropout,2004.0,satire,body image
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",12,Slow Jamz,5:16,"Twista, Jamie Foxx",94,4407,2004-02-10,2004,The College Dropout,2004.0,romance,humor
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",13,Breathe In Breathe Out,4:06,Ludacris,83,4205,2004-02-10,2004,The College Dropout,2004.0,ego,rap identity
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",14,School Spirit Skit 1,1:18,,78,1834,2004-02-10,2004,The College Dropout,2004.0,satire,education
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",15,School Spirit,3:02,,85,4064,2004-02-10,2004,The College Dropout,2004.0,rebellion,"youth, identity"
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",16,School Spirit Skit 2,0:43,,77,1822,2004-02-10,2004,The College Dropout,2004.0,satire,conformity
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",17,Lil Jimmy Skit,0:53,,80,1892,2004-02-10,2004,The College Dropout,2004.0,satire,family expectations
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",18,Two Words,4:26,"Mos Def, Freeway, The Boys Choir of Harlem",95,4361,2004-02-10,2004,The College Dropout,2004.0,social,"race, aggression"
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",19,Through the Wire,3:41,,97,4523,2004-02-10,2004,The College Dropout,2004.0,trauma,"survival, recovery"
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",20,Family Business,4:38,,96,4415,2004-02-10,2004,The College Dropout,2004.0,family,"nostalgia, roots"
The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",21,Last Call,12:40,,94,4254,2004-02-10,2004,The College Dropout,2004.0,legacy,"career, ambition"
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",1,Wake Up Mr. West,0:41,,82,1662,2005-08-30,2005,Late Registration,2005.0,social,"fame, criticism"
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",2,Heard 'Em Say,3:23,Adam Levine,94,3658,2005-08-30,2005,Late Registration,2005.0,social,"hope, struggle"
