year,month,era,key_event,category,mental_state,intensity,source,track_theme
2004,1,College Dropout Era,Finishing The College Dropout,music,creative_peak,4,Pitchfork,"college expulsion, drug propaganda"
2004,2,College Dropout Era,Release of The College Dropout,music,joy,5,Billboard,"college expulsion, drug propaganda"
2004,3,College Dropout Era,Through the Wire success,music,joy,4,RollingStone,"success, hustle, self-worth"
2004,4,College Dropout Era,First major tour,music,creative_peak,3,Variety,"intro, start"
2004,5,College Dropout Era,Beginning of GOOD Music,music,creative_peak,4,Guardian,"intro, start"
2004,6,College Dropout Era,More touring and promo,music,neutral,2,-- ,"ego, fame, downfall"
2004,7,College Dropout Era,Talks about car crash trauma,personal,grief,3,MTV,"injury, recovery, perseverance, faith"
2004,8,College Dropout Era,Jesus Walks wins VMA,music,joy,5,VMA,"struggle, redemption, surrender"
2004,9,College Dropout Era,Rise in media attention,public,neutral,2,Guardian,"chaos, fame, consequences"
2004,10,College Dropout Era,First controversies begin,public,chaotic,3,NYTimes,"conflict, reputation, pressure"
2004,11,College Dropout Era,Recording Late Registration begins,music,creative_peak,4,Pitchfork,"intro, start"
2004,12,College Dropout Era,Studio sessions continue,music,creative_peak,3,-- ,"new stage, overcoming difficulties, system"
2005,1,Late Registration Era,Work intensifies on album,music,creative_peak,4,Pitchfork,"grind, persistence, momentum"
2005,2,Late Registration Era,Collaboration with Jon Brion,music,creative_peak,4,Billboard,"struggle, revelation, duality"
2005,3,Late Registration Era,Touch the Sky concept begins,music,creative_peak,3,RollingStone,"danger, impact, unpredictability"
2005,4,Late Registration Era,First fashion statements,fashion,neutral,2,Vogue,"flexing, style, ego"
2005,5,Late Registration Era,Public confidence grows,public,mania_like,3,Guardian,"vulnerability, confession, identity"
2005,6,Late Registration Era,Diamonds from Sierra Leone released,music,public_controversy,4,NYTimes,"trauma, poverty, freedom"
2005,7,Late Registration Era,Live performances,music,neutral,2,-- ,"drugs, addiction, music, criticism of the authorities"
2005,8,Late Registration Era,Release of Late Registration,music,joy,5,Billboard,"college expulsion, drug propaganda"
2005,9,Late Registration Era,Katrina “George Bush hates Black people” moment,public,angry,5,NBC,"violence, growth, Black success"
2005,10,Late Registration Era,Massive fame spike,public,mania_like,4,Variety,"chaos, fame, consequences"
2005,11,Late Registration Era,Tours intensify,music,creative_peak,4,Billboard,"exploration, escape, adventure"
2005,12,Late Registration Era,Grammy nominations,music,joy,5,Grammy,"rap, gangsters"
2006,1,Graduation Pre-Era,Beginning early Graduation sessions,music,creative_peak,3,Pitchfork,"relationships, respect, mentoring, self-recognition"
2006,2,Graduation Pre-Era,Fashion interest grows,fashion,neutral,2,Vogue,"fast pace of life, success, luxury, control"
2006,3,Graduation Pre-Era,Public clashes with paparazzi begin,public,chaotic,3,TMZ,"conflict, reputation, pressure"
2006,4,Graduation Pre-Era,Touch the Sky tour,music,creative_peak,4,Billboard,"exploration, escape, adventure"
2006,5,Graduation Pre-Era,Grammy wins,music,joy,5,Grammy,"triumph, celebration"
2006,6,Graduation Pre-Era,Studio experimentation,music,creative_peak,3,RollingStone,sample
2006,7,Graduation Pre-Era,Relationship turmoil begins,personal,stress,3,Guardian,"blame, dysfunction, heartbreak"
2006,8,Graduation Pre-Era,More public appearances,public,neutral,2,-- ,"fame, identity, isolation"
2006,9,Graduation Pre-Era,Rumors about new direction,music,neutral,2,Pitchfork,"chaos, fame, consequences"
2006,10,Graduation Pre-Era,Increased work with Daft Punk,music,creative_peak,4,Billboard,"drugs, addiction, music, criticism of the authorities"
2006,11,Graduation Pre-Era,Beginning of Glow in the Dark concept,music,creative_peak,4,Variety,"intro, start"
2006,12,Graduation Pre-Era,Work continues,music,neutral,2,-- ,"grind, persistence, momentum"
2007,1,Graduation Era,Album sessions intensify,music,creative_peak,4,Pitchfork,"drugs, addiction, music, criticism of the authorities"
2007,2,Graduation Era,Good Life creation,music,creative_peak,4,Billboard,"success, brotherhood, flourishing"
2007,3,Graduation Era,Stronger completed,music,creative_peak,5,RollingStone,"triumph, greatness, overcoming difficulties, status, work"
2007,4,Graduation Era,Public feud with 50 Cent begins,public,mania_like,4,MTV,"rap, gangsters"
2007,5,Graduation Era,Tour prep,music,neutral,2,-- ,"intro, start"
2007,6,Graduation Era,Dr. Donda West health issues begin,family,stress,4,Guardian,"grandmother, family, illness, materialism, inheritance"
2007,7,Graduation Era,Graduation finalization,music,creative_peak,5,Pitchfork,"grief, finality, mourning"
2007,8,Graduation Era,Death of Donda West (shadow approaching),family,grief,5,-- ,"grief, finality, mourning"
2007,9,Graduation Era,Album releases,music,joy,5,Billboard,"drugs, addiction, music, criticism of the authorities"
2007,10,Graduation Era,Emotional instability begins,personal,depressive_low,4,NYTimes,"emotional collapse, burnout"
2007,11,Graduation Era,Glow in the Dark planning begins,music,creative_peak,3,Variety,"new stage, overcoming difficulties, system"
2007,12,Graduation Era,Mourning period,family,grief,5,Guardian,"mourning, remembrance"
2008,1,808s Era,Heartbreak themes emerge,music,grief,5,Pitchfork,"heartbreak, longing, regret"
2008,2,808s Era,Recording in Hawaii begins,music,depressive_low,4,RollingStone,"intro, start"
2008,3,808s Era,Autotune experimentation,music,creative_peak,4,Billboard,intro
2008,4,808s Era,Emotional withdrawal,personal,depressive_low,4,Guardian,"emotional collapse, burnout"
2008,5,808s Era,Homecoming performance,music,neutral,2,MTV,"tribute, legacy"
2008,6,808s Era,Glow In The Dark tour,music,creative_peak,4,Variety,"exploration, escape, adventure"
2008,7,808s Era,Death of friend/mentor (details),family,grief,4,-- ,"loss, trauma, loneliness"
2008,8,808s Era,Loneliness themes deepen,personal,depressive_low,5,NYTimes,"loss, trauma, loneliness"
2008,9,808s Era,Love Lockdown release,music,creative_peak,5,Billboard,"escape, freedom, escape from problems, liberation"
2008,10,808s Era,Public confusion at new style,public,chaotic,3,Guardian,"flexing, style, ego"
2008,11,808s Era,Release of 808s & Heartbreak,music,grief,5,Pitchfork,"heartbreak, disappointment, loss"
2008,12,808s Era,Emotional collapse moments,personal,depressive_low,5,-- ,"emotional collapse, burnout"
2009,1,Post-808s Era,Beginning recovery period,personal,depressive_low,4,Guardian,"injury, recovery, perseverance, faith"
2009,2,Post-808s Era,Runaway ideas early spark,music,creative_peak,3,RollingStone,"dreams, ambitions, doubts, self-discovery, comparison"
2009,3,Post-808s Era,More studio work,music,neutral,2,-- ,"ambition, validation, progress"
2009,4,Post-808s Era,Red carpet controversies,public,chaotic,3,TMZ,"conflict, reputation, pressure"
2009,5,Post-808s Era,Growth of fashion interest,fashion,neutral,2,Vogue,"status, consumerism, money"
2009,6,Post-808s Era,Amber Rose relationship begins,personal,neutral,2,Guardian,"surreal love, obsession"
2009,7,Post-808s Era,Early My Beautiful Dark Fantasy concepts,music,creative_peak,3,Pitchfork,"escapism, fantasy, excess"
2009,8,Post-808s Era,Tour appearances,music,neutral,2,-- ,"chaos, fame, consequences"
2009,9,Post-808s Era,Taylor Swift VMA interruption,public,chaotic,5,VMA,"chaos, spectacle, ego"
2009,10,Post-808s Era,Massive public backlash,public,depressive_low,5,NYTimes,"conflict, reputation, pressure"
2009,11,Post-808s Era,Self-isolation in Italy,personal,depressive_low,4,Guardian,"emotional distance, control, isolation"
2009,12,Post-808s Era,Move to Hawaii for creation camp,music,creative_peak,4,RollingStone,"spiritual transformation, liberation, search for faith, search for meaning"
2010,1,MBDTF Era,Hawaii sessions full swing,music,creative_peak,5,Pitchfork,"alcohol, women, escapism"
2010,2,MBDTF Era,Power created,music,creative_peak,5,Billboard,"chaos, rebellion, energy"
2010,3,MBDTF Era,Runaway conceptualization,music,creative_peak,5,RollingStone,"judgment, misunderstanding, struggle"
2010,4,MBDTF Era,Monster recording,music,creative_peak,5,Pitchfork,"chaos, spectacle, ego"
2010,5,MBDTF Era,Nicki Minaj verse recording,music,creative_peak,5,Billboard,"rap, gangsters"
2010,6,MBDTF Era,Good Fridays begin,public,joy,4,Guardian,"intro, start"
2010,7,MBDTF Era,Runaway film production begins,music,creative_peak,5,Variety,"chaos, fame, consequences"
2010,8,MBDTF Era,Runaway teaser released,public,joy,4,YouTube,intro
2010,9,MBDTF Era,Album finalization,music,creative_peak,5,Pitchfork,"new stage, overcoming difficulties, system"
